year,month,airport,passengers,departures,arrivals
2016,1,IXA,80658,40198,40460
2016,1,IXB,92164,47194,44970
2016,1,IXC,102934,51283,51651
2016,1,IXD,3064,1501,1563
2016,1,IXE,84094,42451,41643
2016,1,IXG,8952,4502,4450
2016,1,IXI,129,62,67
2016,1,IXJ,94166,46628,47538
2016,1,IXL,16830,9376,7454
2016,1,IXM,62198,31166,31032
2016,1,IXR,67282,34211,33071
2016,1,IXS,16453,8254,8199
2016,1,IXU,26543,13874,12669
2016,1,IXZ,81074,41344,39730
2016,1,JAI,222006,110727,111279
2016,1,JDH,26753,13659,13094
2016,1,JGA,8148,4052,4096
2016,1,JLR,1140,569,571
2016,1,JRH,4568,2335,2233
2016,1,KUU,1355,684,671
2016,1,LKO,208137,103350,104787
2016,1,MAA,952070,469754,482316
2016,1,NAG,137218,70754,66464
2016,1,PAT,123405,61186,62219
2016,1,PBD,1755,939,816
2016,1,PGH,352,183,169
2016,1,PNQ,453398,230598,222800
2016,1,RAJ,37764,18723,19041
2016,1,RJA,18905,9676,9229
2016,1,RPR,107351,55144,52207
2016,1,SHL,263,142,121
2016,1,STV,11848,6055,5793
2016,1,SXR,158819,85188,73631
2016,1,TCR,8272,4097,4175
2016,1,TIR,34252,17095,17157
2016,1,TRV,116101,60699,55402
2016,1,TRZ,13104,6429,6675
2016,1,UDR,84837,43468,41369
2016,1,VGA,40352,21318,19034
2016,1,VNS,131304,65000,66304
2016,1,VTZ,167171,85550,81621
2016,2,AGR,1524,426,1098
2016,2,AGX,1665,870,795
2016,2,AJL,12323,6144,6179
2016,2,AMD,501848,256670,245178
2016,2,ATQ,91032,44281,46751
2016,2,BBI,164562,83600,80962
2016,2,BDQ,81478,42916,38562
2016,2,BHJ,12690,6488,6202
2016,2,BHO,55963,29209,26754
2016,2,BHU,3006,1474,1532
2016,2,BLR,1333310,666775,666535
2016,2,BOM,2567795,1277685,1290110
2016,2,CCJ,27792,13856,13936
2016,2,CCU,912186,449248,462938
2016,2,CJB,129191,65574,63617
2016,2,COK,278308,140110,138198
2016,2,DED,36567,17873,18694
2016,2,DEL,3079460,1533404,1546056
2016,2,DGH,1248,669,579
2016,2,DHM,6335,2997,3338
2016,2,DIB,25028,12481,12547
2016,2,DIU,3235,1581,1654
2016,2,DMU,8393,4361,4032
2016,2,GAU,249943,123392,126551
2016,2,GAY,8139,4065,4074
2016,2,GOI,449347,229165,220182
2016,2,GOP,2377,1012,1365
2016,2,GWL,1028,503,525
2016,2,HBX,4627,2312,2315
